flow	speed	occupancy	probability
			0.0
0.0	53.4	0.0	0.0
0.0	53.4	0.0	0.0
0.0	53.4	0.0	0.0
0.0	45.6	0.0	0.0
0.0	53.4	0.0	0.0
0.0	49.2	0.0	0.0
0.0	53.4	0.0	0.0
0.0	52.2	0.0	0.0
0.0	57.0	0.0	0.0
0.0	58.8	0.0	0.0
0.0	58.8	0.0	0.0
0.0	53.4	0.0	0.0
0.0	53.4	0.0	0.0
0.0	53.4	0.0	0.0
0.0	53.4	0.0	0.0
0.0	55.8	0.0	0.0
0.0	55.2	0.0	0.0
0.0	60.0	0.0	0.0
0.0	54.0	0.0	0.0
0.0	55.2	0.0	0.0
0.0	46.2	0.0	0.0
0.0	58.8	0.0	0.0
0.0	64.8	0.0	0.0
0.0	53.4	0.0	0.0
0.0	62.7	0.0	0.0
0.0	53.4	0.0	0.0
0.0	57.0	0.0	0.0
0.0	58.2	0.0	0.0
0.0	60.0	0.0	0.0
0.0	57.0	0.0	0.0
0.0	58.8	0.0	0.0
0.0	51.0	0.0	0.0
0.0	55.8	0.0	0.0
0.0	51.0	0.0	0.0
0.0	53.4	0.0	0.0
0.0	67.8	0.0	0.0
0.0	53.4	0.0	0.0
0.0	60.0	0.0	0.0
0.0	57.0	0.0	0.0
0.0	58.8	0.0	0.0
0.0	48.0	0.0	0.0
0.0	52.2	0.0	0.0
0.0	60.0	0.0	0.0
0.0	57.0	0.0	0.0
0.0	50.4	0.0	0.0
0.0	63.6	0.0	0.0
0.0	64.8	0.0	0.0
0.0	45.6	0.0	0.0
0.0	55.8	0.0	0.0
0.0	58.2	0.0	0.0
0.0	60.0	0.0	0.0
0.0	60.6	0.0	0.0
0.0	61.8	0.0	0.0
0.0	60.6	5.0	0.0
0.0	49.2	0.0	0.0
0.0	46.2	0.0	0.0
0.0	30.6	0.0	0.0
0.0	47.4	0.0	0.0
0.0	55.8	0.0	0.0
0.0	28.8	0.0	0.0
0.0	47.4	0.0	0.0
0.0	49.2	0.0	0.0
0.0	50.4	0.0	0.0
0.0	55.2	0.0	0.0
0.0	52.2	0.0	0.0
0.0	53.4	0.0	0.0
0.0	50.4	0.0	0.0
0.0	51.0	0.0	0.0
0.0	55.2	0.0	0.0
0.0	60.0	0.0	0.0
0.0	53.8	0.0	0.0
0.0	58.2	0.0	0.0
0.0	63.0	0.0	0.0
0.0	63.0	0.0	0.0
0.0	57.0	0.0	0.0
0.0	60.6	0.0	0.0
0.0	55.2	0.0	0.0
0.0	51.0	0.0	0.0
0.0	55.2	0.0	0.0
0.0	53.4	0.0	0.0
0.0	52.2	0.0	0.0
0.0	52.2	0.0	0.0
0.0	48.0	0.0	0.0
0.0	57.0	0.0	0.0
0.0	45.6	0.0	0.0
0.0	54.0	0.0	0.0
0.0	54.0	0.0	0.0
0.0	50.4	0.0	0.0
0.0	53.4	0.0	0.0
0.0	53.4	0.0	0.0
0.0	60.0	5.0	0.0
0.0	57.0	0.0	0.0
0.0	53.4	0.0	0.0
0.0	57.0	0.0	0.0
0.0	55.8	0.0	0.0
0.0	53.4	0.0	0.0
0.0	45.6	0.0	0.0
0.0	58.8	0.0	0.0
0.0	63.0	0.0	0.0
0.0	55.2	0.0	0.0
0.0	55.8	0.0	0.0
0.0	43.2	0.0	0.0
0.0	58.2	0.0	0.0
0.0	60.0	0.0	0.0
0.0	46.2	0.0	0.0
0.0	57.0	0.0	0.0
0.0	61.8	0.0	0.0
0.0	58.2	0.0	0.0
0.0	55.8	0.0	0.0
0.0	53.4	0.0	0.0
0.0	50.4	0.0	0.0
0.0	58.8	0.0	0.0
0.0	53.4	0.0	0.0
0.0	83.8	3.0	0.0
0.0	42.6	0.0	0.0
0.0	53.4	0.0	0.0
0.0	57.0	0.0	0.0
0.0	52.2	0.0	0.0
0.0	45.6	0.0	0.0
0.0	52.2	0.0	0.0
0.0	48.0	0.0	0.0
0.0	58.8	0.0	0.0
0.0	54.0	0.0	0.0
0.0	53.4	0.0	0.0
0.0	58.8	0.0	0.0
0.0	58.8	0.0	0.0
0.0	53.4	0.0	0.0
0.0	45.6	0.0	0.0
